iter	Passed	Remaining
1489	629012	123691
1490	629188	123221
1491	629332	122745
1492	629468	122267
1493	629620	121794
1494	629723	121311
1495	629841	120831
1496	629982	120357
1497	630127	119884
1498	630300	119416
1499	630473	118949
1500	630576	118469
1501	630752	118003
1502	630886	117530
1503	631009	117055
1504	631153	116585
1505	631277	116111
1506	631432	115643
1507	631566	115172
1508	631688	114700
1509	631827	114231
1510	631935	113756
1511	632102	113293
1512	632253	112827
1513	632393	112360
1514	632539	111894
1515	632680	111428
1516	632843	110966
1517	632960	110497
1518	633096	110031
1519	633222	109564
1520	633372	109101
1521	633501	108635
1522	633644	108172
1523	633742	107702
1524	633862	107236
1525	634086	106789
1526	634224	106327
1527	634365	105865
1528	634512	105406
1529	634668	104948
1530	634785	104484
1531	634947	104028
1532	635109	103572
1533	635260	103115
1534	635339	102647
1535	635459	102186
1536	635598	101728
1537	635733	101270
1538	635861	100812
1539	636021	100359
1540	636153	99902
1541	636251	99440
1542	636380	98983
1543	636501	98525
1544	636670	98076
1545	636842	97627
1546	636981	97173
1547	637171	96728
1548	637321	96277
1549	637458	95824
06714
1549	621532	106261
1550	621666	105815
1551	621740	105359
1552	621817	104904
1553	621907	104451
1554	621989	103998
1555	622088	103548
1556	622206	103101
1557	622292	102650
1558	622371	102198
1559	622480	101751
1560	622563	101301
1561	622660	100853
1562	622757	100406
1563	622881	99963
1564	623014	99523
1565	623113	99077
1566	623205	98631
1567	623315	98188
1568	623414	97743
1569	623500	97297
1570	623592	96853
1571	623680	96408
1572	623750	95961
1573	623817	95514
1574	623922	95073
1575	624049	94636
1576	624111	94190
1577	624235	93753
1578	624313	93310
1579	624454	92877
1580	624534	92435
1581	624616	91994
1582	624703	91554
1583	624795	91115
1584	624896	90678
1585	625031	90247
1586	625133	89811
1587	625194	89369
1588	625293	88934
1589	625371	88495
1590	625454	88058
1591	625536	87622
1592	625625	87186
1593	625740	86755
1594	625831	86321
1595	625919	85887
1596	626005	85453
1597	626106	85022
1598	626239	84595
1599	626320	84161
1600	626403	83729
1601	626489	83297
1602	626632	82873
1603	626723	82443
1604	626819	82013
1605	626890	81581
1606	626961	81149
1607	627050	80721
1608	627151	80294
1609	627269	79869
1610	627353	79441
1611	627433	79013
1612	627526	78586
1613	627658	78165
1614	627774	77742
1615	627912	77323
1616	628015	76899
1617	628108	76475
1618	628184	76049
1619	628287	75627
1620	628398	75206
1621	628513	74786
1622	628610	74364
1623	628729	73945
1624	628810	73522
1625	628878	73098
1626	628995	72680
1627	629076	72258
1628	629182	71840
1629	629263	71419
1630	629371	71002
1631	629472	70584
1632	629561	70165
1633	629647	69746
1634	629732	69328
1635	629847	68913
1636	629942	68497
1637	630049	68082
1638	630146	67666
1639	630232	67250
1640	630335	66836
1641	630434	66422
1642	630517	66006
1643	630608	65592
1644	630727	65181
1645	630799	64766
1646	630886	64352
1647	630985	63940
1648	631057	63526
1649	631156	63115
1650	631213	62700
1651	631329	62292
1652	631451	61884
1653	631555	61475
1654	631656	61066
1655	631755	60657
1656	631847	60248
